raw_record_id,source_channel,title,doi,publication_year,authors,deduplication_status,merged_into_record_id,deduplication_reason
RAW_0024,Direct_Harvest,Artificial intelligence helps drive new frontiers in ecology,https://doi.org/10.1093/biosci/biae016,2024,['Niki Wilson'],UNIQUE,REC_DIR_0025,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0025,Direct_Harvest,Humanizing pulmonary care in the era of acoustic artificial intelligence: toward global health equity,https://doi.org/10.3389/fmed.2025.1666820,2025,"['Bilal Irfan', 'Habeebah Muhammad-Kamal', 'Allison Newsome', 'Roberto Daniel Sirvent']",UNIQUE,REC_DIR_0026,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0026,Direct_Harvest,Application of AI Tools in Creating Datasets from a Real Data Component for Structural Health Monitoring,https://doi.org/10.1201/9781003306924-9,2023,"['Minh Q. Tran', 'Hélder S. Sousa', 'José C. Matos']",UNIQUE,REC_DIR_0027,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0027,Direct_Harvest,"AI-based air quality PM2.5 forecasting models for developing countries: A case study of Ho Chi Minh City, Vietnam",https://doi.org/10.1016/j.uclim.2022.101315,2022,"['Rajnish Rakholia', 'Quan Le', 'Hoang Ngoc Khue Vu', 'Bang Quoc Ho', 'Ricardo Simón Carbajo']",UNIQUE,REC_DIR_0028,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0028,Direct_Harvest,The Nexus Between Green Finance and Artificial Intelligence: A Systemic Bibliometric Analysis Based on Web of Science Database,https://doi.org/10.3390/jrfm18080420,2025,"['Katerina Fotova Čiković', 'Violeta Cvetkoska', 'Dinko Primorac']",UNIQUE,REC_DIR_0029,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0029,Direct_Harvest,A LASSO-based model for financial distress of the Vietnamese listed firms: Does the covid-19 pandemic matter?,https://doi.org/10.1080/23322039.2023.2210361,2023,"['Nam Thanh Vu', 'Ngoc Hong Nguyen', 'Thao Tran', 'Binh Thien Le', 'Duc Hong Vo']",UNIQUE,REC_DIR_0030,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0030,Direct_Harvest,Insights Into the Current and Future State of AI Adoption Within Health Systems in Southeast Asia: Cross-Sectional Qualitative Study,https://doi.org/10.2196/71591,2025,"['Mochammad Fadjar Wibowo', 'Alexandra Pyle', 'E. F. H. Lim', 'Joshua W. Ohde', 'Nan Liu', 'Jonas Karlström']",UNIQUE,REC_DIR_0031,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0031,Direct_Harvest,Understanding and predicting ciprofloxacin minimum inhibitory concentration in <i>Escherichia coli</i> with machine learning,https://doi.org/10.1101/806760,2019,"['Bálint Pataki', 'Sébastien Matamoros', 'Boas C.L. van der Putten', 'Daniel Remondini', 'Enrico Giampieri', 'Derya Aytan-Aktug', 'COMPARE ML-AMR group', 'René S. Hendriksen', 'Ole Lund', 'István Csabai', 'Constance Schultsz']",UNIQUE,REC_DIR_0032,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0032,Direct_Harvest,Predicting Load-Deflection of Composite Concrete Bridges Using Machine Learning Models,https://doi.org/10.58845/jstt.utt.2023.en.3.4.44-52,2023,"['Manh Van Le', 'Indra Prakash', 'Dam Duc Nguyen']",UNIQUE,REC_DIR_0033,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0033,Direct_Harvest,A comprehensive appraisal of evolutionary diversity in venomous Asian coralsnakes of the genus<i>Sinomicrurus</i>(Serpentes: Elapidae) using Bayesian coalescent inference and supervised machine learning,https://doi.org/10.1111/jzs.12547,2021,"['Utpal Smart', 'Matthew J. Ingrasci', 'Goutam C. Sarker', 'Hmartlawmte Lalremsanga', 'Robert W. Murphy', 'Hidetoshi Ota', 'Ming Tu', 'Yogesh S. Shouche', 'Nikolai L. Orlov', 'Eric N. Smith']",UNIQUE,REC_DIR_0034,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0034,Direct_Harvest,"Evaluation of models and drought-wetness factors contributing to predicting the vegetation health index in Dak Nong Province, Vietnam",https://doi.org/10.1088/2515-7620/ad39a4,2024,"['Luong Van Viet', 'Dang Hung Bui']",UNIQUE,REC_DIR_0035,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0035,Direct_Harvest,Sentiment Reasoning for Healthcare,https://doi.org/10.48550/arxiv.2407.21054,2024,"['Khai-Nguyen Nguyen', 'Khai Le-Duc', 'Bach Phan Tat', 'Duy Hoang Le', 'Long Vo-Dang', 'Truong-Son Hy']",UNIQUE,REC_DIR_0036,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0036,Direct_Harvest,"Ecological epidemiology insights into clonorchiosis endemicity in Guangxi, China and Vietnam: a comprehensive machine learning analysis",https://doi.org/10.1186/s12942-025-00404-y,2025,"['Jinxin Zheng', 'Huihui Zhu', 'Shang Xia', 'Men‐Bao Qian', 'Robert Bergquist', 'Hung Manh Nguyen', 'Xiao‐Nong Zhou']",UNIQUE,REC_DIR_0037,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0037,Direct_Harvest,Artificial Intelligence-assisted Translation and Interpretation for Communication With Patients Who Have Language Barriers: A Systematic Review,https://doi.org/10.1164/ajrccm.2025.211.abstracts.a3643,2025,"['Inna Strechen', 'Arjun Gupta', 'Sema Karakuş', 'Christine Chen', 'Keivan Nalaie', 'L. Hassett', 'Amelia Barwise']",UNIQUE,REC_DIR_0038,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0038,Direct_Harvest,How Healthqual drives willingness to pay a premium and revisit intention in health-care sector: the moderation role of AI-enabled service,https://doi.org/10.1108/ijqss-09-2025-0225,2026,"['Thanh Tiep Le', 'Thoi Le Quan Chau', 'Ngan Nguyen Dang Kim']",UNIQUE,REC_DIR_0039,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0039,Direct_Harvest,Using machine learning algorithms for predicting bridge vertical deflection,https://doi.org/10.1680/jencm.23.00016,2024,"['Ha Hoang', 'Dam Duc Nguyen', 'Le Van Manh', 'Le Van Hiep', 'Binh Thai Pham']",UNIQUE,REC_DIR_0040,UNIQUE_RECORD_PASSED_TO_SCREENING
