record_id,channel,pmid,doi,openalex_id,title,year,authors,dedup_status,screening_status_round_1
REC_DIR_0034,Direct_Harvest,,https://doi.org/10.1111/jzs.12547,,A comprehensive appraisal of evolutionary diversity in venomous Asian coralsnakes of the genus<i>Sinomicrurus</i>(Serpentes: Elapidae) using Bayesian coalescent inference and supervised machine learning,2021,"['Utpal Smart', 'Matthew J. Ingrasci', 'Goutam C. Sarker', 'Hmartlawmte Lalremsanga', 'Robert W. Murphy', 'Hidetoshi Ota', 'Ming Tu', 'Yogesh S. Shouche', 'Nikolai L. Orlov', 'Eric N. Smith']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0035,Direct_Harvest,,https://doi.org/10.1088/2515-7620/ad39a4,,"Evaluation of models and drought-wetness factors contributing to predicting the vegetation health index in Dak Nong Province, Vietnam",2024,"['Luong Van Viet', 'Dang Hung Bui']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0036,Direct_Harvest,,https://doi.org/10.48550/arxiv.2407.21054,,Sentiment Reasoning for Healthcare,2024,"['Khai-Nguyen Nguyen', 'Khai Le-Duc', 'Bach Phan Tat', 'Duy Hoang Le', 'Long Vo-Dang', 'Truong-Son Hy']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0037,Direct_Harvest,,https://doi.org/10.1186/s12942-025-00404-y,,"Ecological epidemiology insights into clonorchiosis endemicity in Guangxi, China and Vietnam: a comprehensive machine learning analysis",2025,"['Jinxin Zheng', 'Huihui Zhu', 'Shang Xia', 'Men‐Bao Qian', 'Robert Bergquist', 'Hung Manh Nguyen', 'Xiao‐Nong Zhou']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0038,Direct_Harvest,,https://doi.org/10.1164/ajrccm.2025.211.abstracts.a3643,,Artificial Intelligence-assisted Translation and Interpretation for Communication With Patients Who Have Language Barriers: A Systematic Review,2025,"['Inna Strechen', 'Arjun Gupta', 'Sema Karakuş', 'Christine Chen', 'Keivan Nalaie', 'L. Hassett', 'Amelia Barwise']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0039,Direct_Harvest,,https://doi.org/10.1108/ijqss-09-2025-0225,,How Healthqual drives willingness to pay a premium and revisit intention in health-care sector: the moderation role of AI-enabled service,2026,"['Thanh Tiep Le', 'Thoi Le Quan Chau', 'Ngan Nguyen Dang Kim']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0040,Direct_Harvest,,https://doi.org/10.1680/jencm.23.00016,,Using machine learning algorithms for predicting bridge vertical deflection,2024,"['Ha Hoang', 'Dam Duc Nguyen', 'Le Van Manh', 'Le Van Hiep', 'Binh Thai Pham']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0041,Direct_Harvest,,https://doi.org/10.29090/psa.2024.04.24.ap0713,,Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,2024,"['Anh Mai Kieu', 'Ha Nguyet Dang', 'Khanh Thi Cat Tran', 'Tuyen Thi Thanh Nguyen', 'Chien Huu Nguyen', 'Thanh Chi Nguyen', 'Huong Pham', 'Jennifer Lê', 'Hai Thanh Nguyen']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0042,Direct_Harvest,,https://doi.org/10.31817/vjas.2020.3.1.06,,Toward Audio Beehive Monitoring Based on IoT-AI techniques: A Survey and Perspective,2020,"['Nguyen Huu Du', 'Nguyen Doan Dong', 'Vu Thi Luu', 'Nguyễn Văn Hoàng', 'Phạm Hồng Thái', 'Ngoc T. Phan', 'Nguyen Viet Long', 'Thi-Thu-Hong Phan']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0043,Direct_Harvest,,https://doi.org/10.5281/zenodo.20007941,,LEGAL CHALLENGES IN THE ERA OF ARTIFICIAL INTELLIGENCE REGARDING PATIENTS' RIGHTS: LESSON FOR VIETNAMESE MEDICAL STUDENTS,2026,['Nguyen Thi Phuong Cham and Ho Anh Tuan'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0045,Direct_Harvest,,https://doi.org/10.1109/rivf68649.2025.11365087,,Agentic AI Framework for Adaptive Clinical Workflow Orchestration,2025,"['Quitt Le', 'Duc-Trong Le', 'Hoang D. Nguyen']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0046,Direct_Harvest,,https://doi.org/10.1596/45024,,Artificial Intelligence Integration in Medical Education: A Landscape with HOT Dimensions in Viet Nam,2026,"['Sang Minh Le', 'Giang Bao Kim']",UNIQUE,PENDING_HUMAN_REVIEW
