record_id,title,disagreement_type,dao_trung_thanh_decision,dao_trung_thanh_reason,loc_dang_decision,loc_dang_reason,pi_decision,pi_exclusion_reason,pi_notes,pi_date
CANON-00258,Transfer Learning Enhances Neurological Outcome Prediction for Out-of-Hospital Cardiac Arrest: Validation Across Diverse Geographic Contexts.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00259,Prediction of Early Functional Outcome After Acute Ischemic Stroke Using Real-World Clinical Data in Vietnam and Indonesia: Retrospective Cohort Study.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00267,"Measuring adherence, acceptability and likability of an artificial-intelligence-based, gamified phone application to improve the quality of dietary choices of adolescents in Ghana and Vietnam: Protocol of a randomized controlled pilot test.",DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00269,Humanizing pulmonary care in the era of acoustic artificial intelligence: toward global health equity,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00277,Cross-Cultural Identification of Acoustic Voice Features for Depression: A Cross-Sectional Study of Vietnamese and Japanese Datasets.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00281,Curious but Unprepared: Healthcare Students’ Perspectives on AI and Robotics in Care and the Need for Curriculum Reform,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,INCLUDE,,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00287,Sepsis Mortality Prediction Using Wearable Monitoring in Low-Middle Income Countries.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00288,Classification of Tetanus Severity in Intensive-Care Settings for Low-Income Countries Using Wearable Sensing.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00304,VMHQA: A Vietnamese Multi-choice Dataset for Mental Health Domain Question Answering,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00305,AI for Sustainable Development in Middle-Income Southeast Asia,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX02_NOT_HEALTHCARE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00307,AI-Powered Cardiovascular Risk Prediction: Integrating Wearable Biosensors and Machine Learning Algorithms,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00310,Which Works Best for Vietnamese? A Practical Study of Information Retrieval Methods across Domains,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX02_NOT_HEALTHCARE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
