"query_id","locked_query","portal","run_method","run_datetime_utc","requested_url","http_status","raw_file","bytes","sha256","reported_result_count","run_status","stopping_rule"
"DQ-COUNCIL-NAME-06","AI ethics committee Vietnam","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:40.8353254Z","https://mst.gov.vn/tim-kiem.htm?keywords=AI%20ethics%20committee%20Vietnam","200","mst-dq-council-name-06-2026-07-31.html","130904","c019d142ba0b6ef192ffc52df6377ed7671fb014a3985c0a4b3dccb348a83675","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-EST-01-A","hội đồng đạo đức AI","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:43.4412531Z","https://mst.gov.vn/tim-kiem.htm?keywords=h%E1%BB%99i%20%C4%91%E1%BB%93ng%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20AI","200","mst-dq-council-est-01-a-2026-07-31.html","130937","f716fb3027566191c29c70e42b15d3cb89cbfea18063349b1ba42dbf7470af8e","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-EST-01-B","quyết định thành lập","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:45.7876935Z","https://mst.gov.vn/tim-kiem.htm?keywords=quy%E1%BA%BFt%20%C4%91%E1%BB%8Bnh%20th%C3%A0nh%20l%E1%BA%ADp","200","mst-dq-council-est-01-b-2026-07-31.html","152533","83343a2d9d2bbab77fd9df5efb647d5aac3ad531ecf76d8f28262f6ceadbb1a9","9","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-EST-01-C","quy chế","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:48.4453749Z","https://mst.gov.vn/tim-kiem.htm?keywords=quy%20ch%E1%BA%BF","200","mst-dq-council-est-01-c-2026-07-31.html","169816","6cd99a12f87792b33f2245c6b3112a8041bbd5b14f59f7396537884a414c9f0a","96","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-EST-01-D","chức năng nhiệm vụ","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:50.9708920Z","https://mst.gov.vn/tim-kiem.htm?keywords=ch%E1%BB%A9c%20n%C4%83ng%20nhi%E1%BB%87m%20v%E1%BB%A5","200","mst-dq-council-est-01-d-2026-07-31.html","167065","e18ef73e6cc56fad964079a473c056539de86b23b3aad1a8fc5b5367bc57416b","16","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-EST-01-E","thành viên","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:53.6955068Z","https://mst.gov.vn/tim-kiem.htm?keywords=th%C3%A0nh%20vi%C3%AAn","200","mst-dq-council-est-01-e-2026-07-31.html","168455","080babcbe23799d30bf3b2098990d6fe33ac8a3bbec615162909179951602862","97","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-EST-01","hội đồng đạo đức AI quyết định thành lập quy chế chức năng nhiệm vụ thành viên","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:56.3219210Z","https://mst.gov.vn/tim-kiem.htm?keywords=h%E1%BB%99i%20%C4%91%E1%BB%93ng%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20AI%20quy%E1%BA%BFt%20%C4%91%E1%BB%8Bnh%20th%C3%A0nh%20l%E1%BA%ADp%20quy%20ch%E1%BA%BF%20ch%E1%BB%A9c%20n%C4%83ng%20nhi%E1%BB%87m%20v%E1%BB%A5%20th%C3%A0nh%20vi%C3%AAn","200","mst-dq-council-est-01-2026-07-31.html","131795","4c8f5740ecf8d452b3d0023c420b5046f646acd7b10d933c61ed4960a3f96d04","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-ACT-01-A","hội đồng đạo đức AI","mst.gov.vn","internal GET search endpoint","2026-07-31T13:59:59.0309393Z","https://mst.gov.vn/tim-kiem.htm?keywords=h%E1%BB%99i%20%C4%91%E1%BB%93ng%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20AI","200","mst-dq-council-act-01-a-2026-07-31.html","130937","ede58ddb095491f131f2be3a87723ea9d09c4fe0fc5d6d99ec9ad8b92701747c","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-ACT-01-B","phiên họp","mst.gov.vn","internal GET search endpoint","2026-07-31T14:00:01.6687205Z","https://mst.gov.vn/tim-kiem.htm?keywords=phi%C3%AAn%20h%E1%BB%8Dp","200","mst-dq-council-act-01-b-2026-07-31.html","170518","79d5e52484f5328b84b7557964b710334819b38051dfb104c06c31aa0bfbf2e9","51","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-ACT-01-C","biên bản","mst.gov.vn","internal GET search endpoint","2026-07-31T14:00:03.9307311Z","https://mst.gov.vn/tim-kiem.htm?keywords=bi%C3%AAn%20b%E1%BA%A3n","200","mst-dq-council-act-01-c-2026-07-31.html","171866","eb9b4bb2384511b66d38ff20181225b0861c8e1857d9fe0a1bf261faf2170647","46","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-ACT-01-D","báo cáo hoạt động","mst.gov.vn","internal GET search endpoint","2026-07-31T14:00:06.9913071Z","https://mst.gov.vn/tim-kiem.htm?keywords=b%C3%A1o%20c%C3%A1o%20ho%E1%BA%A1t%20%C4%91%E1%BB%99ng","200","mst-dq-council-act-01-d-2026-07-31.html","136035","169198998951f9adb80e06ed000097a3835e41204ca863d2796cd3e664f93cb3","2","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-ACT-01","hội đồng đạo đức AI phiên họp biên bản báo cáo hoạt động","mst.gov.vn","internal GET search endpoint","2026-07-31T14:00:09.6042144Z","https://mst.gov.vn/tim-kiem.htm?keywords=h%E1%BB%99i%20%C4%91%E1%BB%93ng%20%C4%91%E1%BA%A1o%20%C4%91%E1%BB%A9c%20AI%20phi%C3%AAn%20h%E1%BB%8Dp%20bi%C3%AAn%20b%E1%BA%A3n%20b%C3%A1o%20c%C3%A1o%20ho%E1%BA%A1t%20%C4%91%E1%BB%99ng","200","mst-dq-council-act-01-2026-07-31.html","131487","5c0b465646ebfddee02b13fa29b347cc63fdca519fc86ddf03e2b3e9af6f9e9d","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
"DQ-COUNCIL-ACT-02","National AI Ethics Council decision regulation mandate members meeting minutes activity report","mst.gov.vn","internal GET search endpoint","2026-07-31T14:00:12.2536804Z","https://mst.gov.vn/tim-kiem.htm?keywords=National%20AI%20Ethics%20Council%20decision%20regulation%20mandate%20members%20meeting%20minutes%20activity%20report","200","mst-dq-council-act-02-2026-07-31.html","131641","6d248b686ee0a7bb991854e46528bd0df73d74dd02fef4bea2cd3b381fa949c5","0","RAW_RESULT_PAGE_CAPTURED_NOT_SCREENED","FIRST_INTERNAL_RESULTS_PAGE_ONLY; NOT_COMPLETE: portal pagination/result-total not reliably machine-readable in this run."
