slot_id,domain,query_id,target_url,http_status,error_summary,raw_body_file,raw_body_sha256,retried_attempts,terminal_condition
INTL-03,www.who.int/vietnam,DQ-EVID-05,https://www.who.int/vietnam/,200,OK,raw-artifacts\INTL-03-78b3d080.body,2F093E9AD117BDEDAFAE7D77225361DDFFD6DD5B69FD2D0262A88CFEE9D900E6,3,HTTP_RESPONSE_CAPTURED
INTL-03,www.unesco.org,DQ-IMPL-03,https://www.unesco.org/,0,URLError,raw-artifacts\INTL-03-9e3a029b.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-03,www.unesco.org,DQ-EVID-04,https://www.unesco.org/,0,URLError,raw-artifacts\INTL-03-5c7f4c53.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
INTL-03,www.unesco.org,DQ-EVID-05,https://www.unesco.org/,0,URLError,raw-artifacts\INTL-03-5b9c7431.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
SENTINEL-01,soyte.hanoi.gov.vn,DQ-IMPL-01,https://soyte.hanoi.gov.vn/,0,URLError,raw-artifacts\SENTINEL-01-6e5ce999.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
SENTINEL-01,soyte.hanoi.gov.vn,DQ-IMPL-02,https://soyte.hanoi.gov.vn/,0,URLError,raw-artifacts\SENTINEL-01-f4ef5de4.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-01,https://soyte.danang.gov.vn/,200,OK,raw-artifacts\SENTINEL-02-8c50be0e.body,BBFFC1B41A0A7F11333CD10E2522FCAF6E4B21301BA160A616B3820FEF239C95,3,HTTP_RESPONSE_CAPTURED
SENTINEL-02,soyte.danang.gov.vn,DQ-IMPL-02,https://soyte.danang.gov.vn/,200,OK,raw-artifacts\SENTINEL-02-686f6a20.body,4F1C1E23178DF400DE744BFA3801A20FFE6B882BDAA0FCC0D3B3FF142DE4466D,3,HTTP_RESPONSE_CAPTURED
SENTINEL-03,medinet.gov.vn,DQ-IMPL-01,https://medinet.gov.vn/,200,OK,raw-artifacts\SENTINEL-03-15accd31.body,F268DDF059D59E969245D7683AD15C6B14EFA1070CFAA0C7C434DA6F863C2767,3,HTTP_RESPONSE_CAPTURED
SENTINEL-03,medinet.gov.vn,DQ-IMPL-02,https://medinet.gov.vn/,200,OK,raw-artifacts\SENTINEL-03-43ada330.body,DFEC7EA6324521D5595DE38A93170B656CAD0D356A010975E263BC450FE749D5,3,HTTP_RESPONSE_CAPTURED
